,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
59,59,134,compression,nikon d800,"photo journalists, wedding photographers shooting thousands of images per wedding), probably don't need the super high iq, and burden of processing 36mp images maybe too high.3) jpeg shootersalthough you can get good jpegs out of d800 with correct settings, i believe that those who shoot jpegs most of the time, won't see much (if any) benefit of this camera.i will end this review with comments for all nay sayers:for nikon shooters, d800 represents 300% jump in resolution.",CS,P,nikon d80
60,60,135,compression,nikon d800,"i've owned several film cameras, then the nikon d50, d80, d90, d7000, and now this d800.i believe this is the best there is (in 35mm) for portraits and landscapes.the raw files are large and they do tax my laptop but i have a 128g sd card and a 32g cf card so even at raw+jpeg i have room for over 1500 shots in camera.i do wish it had user modes like the d610, d600, d7100, and d7000...i consider the &#34;shooting banks' useless,but for me the image quality is what matters most.also,compared to those cameras the d800 has much better bracketing too...3,5,7 or 9 shots vs just 2 or 3.~mark",CS,P,nikon d60 
61,61,138,compression,olympus e-p5 ,"the ability to remove the vf is a bonus, and you can streamline the form factor when so choosing.autofocus is top notch -- as fast the em1 / om-d -- rivaling the best of current ten slrs for speed -- although, the c-af isn't quite up the level of the best dslrs...finally, the latest gen olympus m4/3 sensor is magic -- low noise right up to iso 1600; iso 3200 is still very usable, actually usable -- with the e-p2, and other earlier versions of m4/3 cams, i would stay under iso 800, and really, try to stay under iso 400 -- here, you're easily gaining about 2, maybe 3 stops in advantage, both in noise and also dynamic range -- but more than noise, the jpegs out of camera are beautiful, with exceptional rendering when using quality lenses that maximize the sensor to it's fullest potential.",CS,P,olympus e-p2 
62,62,140,compression,olympus om-d e-m5 ,i still prefer the x100's beautiful jpeg engine but the em-5 jpegs with noise reduction off and sharpening tone down are also superb.,CS,P,fujifilm x10 
63,63,151,compression,olympus pen e-pm1 ,"asking why to review an old equipment is probably a good way to start since there are already a new version of it (e-pm2) and is probably going to start to get hard to buy onethe thing is: is an awesome camerai bought together with an panasonic lx7 and needs to say that although i like the lx7 i pretty much need to force myself to use it instead of the olympusi got it refurbished (the warranty was the same standard 1 year) and in the purple version (good for street photography cause nobody pays attention to this silly person with this seemingly silly camera) and it is well built (better than the e-pm2), light, small and ergonomicsincerely im too lazy for raw and after producing efforts but normally im happy with the results recognizing then and then that a beautiful photo i took in jpeg only could receive a little extra care to get even betteris well built.",CS,P,olympus e-pm2 
64,64,158,compression,olympus xz-1 ,"the leica d-lux 4 was about the only exception i can think of, and jpegs from the pansonic version of the same camera left me cold.if you shoot raw, though, this camera produces great files with lots of information to work.",CS,P,leica d-lux 4 
65,65,159,compression,panasonic dmc-fz150k ,"the nikon p510 and canon sx40 are nice, but the fz150 has everything they have and more : hot shoe, external mike input, hdmi output, usb 2.0 port, jpeg + raw, beautiful clarity of zoom, excellent video, ability to adjust so many settings in pasm modes, very good viewfinder, and a fully articulated lcd.the mode dial has all the common scn positions, so you rarely have to go into the lcd menu, when you are shooting in viewfinder mode, which i almost always use when outdoors.the mode dial also has a movie setting, which i much prefer to the ""dedicated video button"".",CS,P,canon sx40 hs
66,66,160,compression,panasonic dmc-gf5kk ,it may not sound like a big deal but the exposures of my raw images from my nikon d200 and d7000 was commonly 2/3 a stop underexposed whereas the jpegs looked fine.,CS,P,nikon d7000 
67,67,161,compression,panasonic lumix dmc-fz100,"photography: unbelievable, panasonic corp. has launched to the market a camera for portrait noice, much noise specialy in 14.1mp even in 10mp the photos are just ""good"" (enough), my nikon p80 (technology from 2008) purchased also in amazon.comnikon coolpix p80 10.1mp digital camera with 18x wide angle optical vibration reduction zoom (black), takes photos with superior quality image even in hard light conditions, i also own an olympus sp-570uz (technology from 2007 i think)olympus sp-570uz 10mp digital camera with 20x optical dual image stabilized zoom, offers superior quality vs. panasonic lumix fz100 this offer more seize 14.1 mp, bt what for, if it is very noisy, i'm sure that  you will read similar opinions about the noise effect on pictures of this camera, from other custumers, i expected a much better product from this brand, but photographically, i am really disappointed, not even the german leica lens can help to the bad processor, sd class 2 or 4 cards, are just enogh to take the noisy photos that this camera takes,3 and 4 stars rating are for photographic purposes, but keep reading because in video it's a different story.video: wow, amazing, astonishing, the excellent quality video that it delivers, professional quality in the palm of your hand, it records avchd full hd 1920x1080 for this it's necesary a sdxd card class 10,panasonic 64 gb high speed 22mb/s sdxc class 10 memory card rp-sdw64ge1kbeware, because this card it's more expensive than the camera it self, but it doesn't matter because the image quality it's superb, avchd lite, this one can be recorded on any sdhc card class 6 or above, very good quiality practicaly excellent, it also records jpeg motion quicktime (any format only in ntsc), the audio, it is recorded in authentic dolby stereo by a stereo omnidirectional microphone located above the flash built in, the camera comes with dolby stereo creator, the fidelity it's excellent, needless to write more, i purchased the optional dmw-ms1 directional microphonepanasonic dmw-ms1 external microphone for panasonic gh1(you should read the other rating about this item).",CS,P,panasonic lumix 
68,68,162,compression,panasonic lumix dmc-fz100,"!panasonic lumix dmc-fz100 14.1 mp digital camera with 24x optical image stabilized zoom and 3.0-inch lcd (black)here are the specs:key specs panasonic lumix dmc-fz100dimensions (whd) 4.9 x 3.2 x 3.7 inchesweight (with battery and media) 1.2 poundsmegapixels, image sensor size, type 15 megapixels, 1/2.3-inch mos (14 megapixels effective)lcd size, resolution/viewfinder 3-inch lcd, 460k dots/electroniclens (zoom, aperture, focal length) 24x, f3.3-5.7, 25-600mm (35mm equivalent)file format (still/video) jpeg, raw (.rw2)/avchd (.mts)highest resolution size (still/video) 4,320x3,240 pixels/ 1,920x1,080 at 30fps (interlaced; 19mbps), 1,280x720 at 30fps (progressive; 17mbps)image stabilization type optical and digitalbattery type, cipa rated life li-ion rechargeable, 410 shotsbattery charged in camera no; external charger suppliedstorage media sd/sdhc/sdxcbundled software photofunstudio 5.2 hd edition (windows), silkypix developer studio 3.1 se (windows, mac)read more: (...)",CS,P,panasonic lumix 
69,69,163,compression,panasonic lumix dmc-fz200 ,"perhaps i got a bad unit--i might try another one just in case that's what happened, but i think i'll wait until it's been on the market for a while--see if they make any adjustments regarding color accuracy and jpeg quality.added october 4, 2012i stopped at national camera exchange and with their help, compared the image quality of the fz200 with another less expensive camera (the canon sx500 is--just $299 at amazon).",CS,N,canon powershot sx50 
